atmid,label,year,month,revised,xls_url,xls_size,pdf_url,pdf_size,has_html_table
1,,,,0,,,,,0
2,Bank-wise ATM/POS/Card Statistics - November 2011,2011,11,0,https://rbidocs.rbi.org.in/rdocs/ATM/DOCs/BATC020812N.xls,34 kb,https://rbidocs.rbi.org.in/rdocs/ATM/PDFs/BATC020812N.pdf,13 kb,1
3,Bank-wise ATM/POS/Card Statistics - October 2011,2011,10,0,https://rbidocs.rbi.org.in/rdocs/ATM/DOCs/MAC0212OC11.xls,35 kb,https://rbidocs.rbi.org.in/rdocs/ATM/PDFs/MAC0212OC11.pdf,14 kb,1
4,Bank-wise ATM/POS/Card Statistics - September 2011,2011,9,0,https://rbidocs.rbi.org.in/rdocs/ATM/DOCs/MTC0212SP11.xls,34 kb,https://rbidocs.rbi.org.in/rdocs/ATM/PDFs/MTC0212SP11.pdf,14 kb,1
5,Bank-wise ATM/POS/Card Statistics - August 2011,2011,8,0,https://rbidocs.rbi.org.in/rdocs/ATM/DOCs/BATAU082011.xls,35 kb,https://rbidocs.rbi.org.in/rdocs/ATM/PDFs/BATAU082011.pdf,14 kb,1
6,Bank-wise ATM/POS/Card Statistics - July 2011,2011,7,0,https://rbidocs.rbi.org.in/rdocs/ATM/DOCs/BACJ072011.xls,31 kb,https://rbidocs.rbi.org.in/rdocs/ATM/PDFs/BACJ072011.pdf,14 kb,1
7,Bank-wise ATM/POS/Card Statistics - June 2011,2011,6,0,https://rbidocs.rbi.org.in/rdocs/ATM/DOCs/BAC062011FL.xls,30 kb,https://rbidocs.rbi.org.in/rdocs/ATM/PDFs/BAC062011FL.pdf,13 kb,1
8,Bank-wise ATM/POS/Card Statistics - May 2011,2011,5,0,https://rbidocs.rbi.org.in/rdocs/ATM/DOCs/ATMCMAY2011.xls,23 kb,https://rbidocs.rbi.org.in/rdocs/ATM/PDFs/ATMCMAY2011.pdf,14 kb,1
9,Bank-wise ATM/POS/Card Statistics - April 2011,2011,4,0,https://rbidocs.rbi.org.in/rdocs/ATM/DOCs/ATMCAP2011.xls,25 kb,https://rbidocs.rbi.org.in/rdocs/ATM/PDFs/ATMCAP2011.pdf,14 kb,1
10,Bank-wise ATM/POS/Card Statistics - December 2011,2011,12,0,https://rbidocs.rbi.org.in/rdocs/ATM/DOCs/BDEC140312.xls,28 kb,https://rbidocs.rbi.org.in/rdocs/ATM/PDFs/BDEC140312.pdf,13 kb,1
11,Bank-wise ATM/POS/Card Statistics - January 2012,2012,1,0,https://rbidocs.rbi.org.in/rdocs/ATM/DOCs/BATMP140312.xls,28 kb,https://rbidocs.rbi.org.in/rdocs/ATM/PDFs/BATMP140312.pdf,13 kb,1
12,Bank-wise ATM/POS/Card Statistics - February 2012,2012,2,0,https://rbidocs.rbi.org.in/rdocs/ATM/DOCs/BATMP230412.xls,29 kb,https://rbidocs.rbi.org.in/rdocs/ATM/PDFs/BATMP230412.pdf,83 kb,1
13,Bank-wise ATM/POS/Card Statistics - March 2012,2012,3,0,https://rbidocs.rbi.org.in/rdocs/ATM/DOCs/BATMP080612.xls,39 kb,https://rbidocs.rbi.org.in/rdocs/ATM/PDFs/BATMP080612.pdf,56 kb,1
14,Bank-wise ATM/POS/Card Statistics - April 2012,2012,4,0,https://rbidocs.rbi.org.in/rdocs/ATM/DOCs/ATMS08062012.xls,35 kb,https://rbidocs.rbi.org.in/rdocs/ATM/PDFs/ATMS08062012.pdf,79 kb,1
15,Bank-wise ATM/POS/Card Statistics - May 2012,2012,5,0,https://rbidocs.rbi.org.in/rdocs/ATM/DOCs/ATMS04072012.xls,46 kb,https://rbidocs.rbi.org.in/rdocs/ATM/PDFs/ATMS04072012.pdf,9 kb,1
16,Bank-wise ATM/POS/Card Statistics - June 2012,2012,6,0,https://rbidocs.rbi.org.in/rdocs/ATM/DOCs/ATMS26062012.xls,39 kb,https://rbidocs.rbi.org.in/rdocs/ATM/PDFs/ATMS26062012.pdf,15 kb,1
17,Bank-wise ATM/POS/Card Statistics - July 2012,2012,7,0,https://rbidocs.rbi.org.in/rdocs/ATM/DOCs/ATMS13092012.xls,74 kb,https://rbidocs.rbi.org.in/rdocs/ATM/PDFs/ATMS13092012.pdf,47 kb,1
18,Bank-wise ATM/POS/Card Statistics - August 2012,2012,8,0,https://rbidocs.rbi.org.in/rdocs/ATM/DOCs/ATMS04102012.xls,39 kb,https://rbidocs.rbi.org.in/rdocs/ATM/PDFs/ATMS04102012.pdf,15 kb,1
19,Bank-wise ATM/POS/Card Statistics - September 2012,2012,9,0,https://rbidocs.rbi.org.in/rdocs/ATM/DOCs/ATMS26112012F.xls,76 kb,https://rbidocs.rbi.org.in/rdocs/ATM/PDFs/ATMS26112012F.pdf,67 kb,1
20,Bank-wise ATM/POS/Card Statistics - October 2012,2012,10,0,https://rbidocs.rbi.org.in/rdocs/ATM/DOCs/ACOT12040213.xls,624 kb,https://rbidocs.rbi.org.in/rdocs/ATM/PDFs/ACOT12040213.pdf,70 kb,1
21,Bank-wise ATM/POS/Card Statistics - November 2012,2012,11,0,https://rbidocs.rbi.org.in/rdocs/ATM/DOCs/ATMN04022013F.xls,68 kb,https://rbidocs.rbi.org.in/rdocs/ATM/PDFs/ATMN04022013F.pdf,21 kb,1
22,Bank-wise ATM/POS/Card Statistics - December 2012,2012,12,0,https://rbidocs.rbi.org.in/rdocs/ATM/DOCs/ATM04022013.xls,70 kb,https://rbidocs.rbi.org.in/rdocs/ATM/PDFs/ATM04022013.pdf,24 kb,1
23,Bank-wise ATM/POS/Card Statistics - January 2013,2013,1,0,https://rbidocs.rbi.org.in/rdocs/ATM/DOCs/ATM140313.xls,70 kb,https://rbidocs.rbi.org.in/rdocs/ATM/PDFs/ATM140313.pdf,21 kb,1
24,Bank-wise ATM/POS/Card Statistics - February 2013,2013,2,0,https://rbidocs.rbi.org.in/rdocs/ATM/DOCs/ATM290513_FEB.xls,72 kb,https://rbidocs.rbi.org.in/rdocs/ATM/PDFs/ATM290513_FEB.pdf,21 kb,1
25,Bank-wise ATM/POS/Card Statistics - April 2013,2013,4,0,https://rbidocs.rbi.org.in/rdocs/ATM/DOCs/ATM290513_APR.xls,70 kb,https://rbidocs.rbi.org.in/rdocs/ATM/PDFs/ATM290513_APR.pdf,21 kb,1
26,Bank-wise ATM/POS/Card Statistics - March 2013,2013,3,0,https://rbidocs.rbi.org.in/rdocs/ATM/DOCs/ATM290513_MAR.xls,70 kb,https://rbidocs.rbi.org.in/rdocs/ATM/PDFs/ATM290513_MAR.pdf,21 kb,1
27,Bank-wise ATM/POS/Card Statistics - May 2013,2013,5,0,https://rbidocs.rbi.org.in/rdocs/ATM/DOCs/ATM13030713F.xls,68 kb,https://rbidocs.rbi.org.in/rdocs/ATM/PDFs/ATM13030713F.pdf,84 kb,1
28,Bank-wise ATM/POS/Card Statistics - June 2013,2013,6,0,https://rbidocs.rbi.org.in/rdocs/ATM/DOCs/CAT05082013F.xls,47 kb,https://rbidocs.rbi.org.in/rdocs/ATM/PDFs/CAT05082013F.pdf,154 kb,1
