start_date,bank_names,no_atms_on_site,no_atms_off_site,no_pos_on_line,no_pos_off_line,no_credit_cards,no_credit_card_atm_txn,no_credit_card_pos_txn,no_credit_card_atm_txn_value_in_mn,no_credit_card_pos_txn_value_in_mn,no_debit_cards,no_debit_card_atm_txn,no_debit_card_pos_txn,no_debit_card_atm_txn_value_in_mn,no_debit_card_pos_txn_value_in_mn,bank_type,bank_name_published
2011-04-01,AMERICAN EXPRESS BANKING CORPORATION,0.0,0.0,15760.0,,553558.0,0.0,1249934.0,0.0,9678.395125566596,0.0,0.0,0.0,0.0,0.0,Foreign Banks,American Express Bkg. Corp.
2011-04-01,BARCLAYS BANK PLC,7.0,29.0,0.0,0.0,320327.0,0.0,175771.0,0.0,320.63762222,27373.0,42836.0,15824.0,135.59697580000002,26.33552532999997,Foreign Banks,Barclays Bank
2011-04-01,CITI BANK,58.0,599.0,10355.0,0.0,2250028.0,29634.0,4820463.0,238.2342472105,14265.66872074,2037708.0,3096582.0,1149124.0,11225.3188811383,2606.3,Foreign Banks,Citibank
2011-04-01,DBS INDIA BANK LTD,4.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1167.0,15788.0,1220.0,34.2,2.2,Foreign Banks,DBS Ltd.
2011-04-01,DEUTSCHE BANK LTD,14.0,47.0,60.0,0.0,191329.0,563.0,272531.0,3.61575935275,1072.3020747075,99232.0,193743.0,74624.0,744.3,138.9,Foreign Banks,Deutsche Bank
2011-04-01,HSBC LTD,72.0,79.0,9472.0,5171.0,910559.0,3288.0,1102183.0,23.1661906,2948.9213322498995,584020.0,464737.0,258111.0,2119.39699747,601.9127667400002,Foreign Banks,HSBC
2011-04-01,OMAN INTERNATIONAL BANK SAO,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0269,0.0,0.0,0.0,0.0,0.0,Foreign Banks,Oman International Bank SAO
2011-04-01,ROYAL BANK OF SCOTLAND N V,35.0,85.0,0.0,0.0,279186.0,1541.0,254564.0,12.16867516,729.2796575299999,386249.0,611901.0,203058.0,2386.86612789,358.93592044,Foreign Banks,RBS (ABN AMRO)
2011-04-01,STANDARD CHARTERED BANK LTD,95.0,224.0,16.0,0.0,1095738.0,2574.0,1698682.0,12.0,5190.0,762176.0,1408552.0,448972.0,4770.5,741.453042,Foreign Banks,Standard Chartered Bank
2011-04-01,AXIS BANK LTD,1745.0,4595.0,186708.0,0.0,634499.0,6432.0,569770.0,20.71307288,1455.1083329099995,10165381.0,39149622.0,1980268.0,87918.64050000001,3433.0245843,Private Sector Banks,Axis Bank Ltd.
2011-04-01,CITY UNION BANK LTD,189.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,455442.0,978220.0,42543.0,2947.41,62.61,Private Sector Banks,City Union Bank Ltd
2011-04-01,CSB BANK LTD,105.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,274684.0,148217.0,7914.0,337.5,14.9,Private Sector Banks,Catholic Syrian Bank Ltd.
2011-04-01,DCB BANK LTD,78.0,59.0,1059.0,0.0,0.0,0.0,0.0,0.0,0.0,307327.0,383288.0,25675.0,1207.9,41.7,Private Sector Banks,Development Credit Bank Ltd.
