period,start_date,atmid,layout,value_unit_published,atm_total,pos_terminals,cc_payments_vol,cc_payments_val_mn,dc_payments_vol,dc_payments_val_mn,atm_onsite,atm_offsite,pos_online,pos_offline,cc_cards,cc_atm_vol,cc_pos_vol,cc_atm_val,cc_pos_val,dc_cards,dc_atm_vol,dc_pos_vol,dc_atm_val,dc_pos_val,atm_online,atm_offline,micro_atm,bharat_qr,pos,upi_qr,cc_ecom_vol,cc_ecom_val,cc_other_vol,cc_other_val,dc_ecom_vol,dc_ecom_val,dc_other_vol,dc_other_val,dc_cashpos_vol,dc_cashpos_val,cc_atm_val_mn,cc_pos_val_mn,dc_atm_val_mn,dc_pos_val_mn,cc_ecom_val_mn,cc_other_val_mn,dc_ecom_val_mn,dc_other_val_mn,dc_cashpos_val_mn
2011-04,2011-04-01,9,A14,million,75645.0,595958.0,23227778.0,70553.98076351397,22461539.0,37055.43341498082,41268.0,34377.0,585714.0,10244.0,17777686.0,171978.0,23227778.0,963.72095198325,70553.98076351397,230256833.0,399553342.0,22461539.0,1061653.4724379862,37055.43341498082,,,,,,,,,,,,,,,,,963.72095198325,70553.98076351397,1061653.4724379862,37055.43341498082,,,,,
2011-05,2011-05-01,8,A14,million,76836.0,601024.0,25341607.0,78809.93212981388,24387011.0,42013.60312744622,41698.0,35138.0,591418.0,9606.0,17658575.0,177189.0,25341607.0,1002.0728600825502,78809.93212981388,234977471.0,403465526.0,24387011.0,1126314.4661324986,42013.60312744622,,,,,,,,,,,,,,,,,1002.0728600825502,78809.93212981388,1126314.4661324986,42013.60312744622,,,,,
2011-06,2011-06-01,7,A14,million,78386.0,610156.0,24182946.0,71911.07962646967,23891416.0,37838.844462617344,42513.0,35873.0,600295.0,9861.0,17659442.0,172625.0,24182946.0,960.364052725536,71911.07962646967,239520133.0,391737317.0,23891416.0,1098540.787878441,37838.844462617344,,,,,,,,,,,,,,,,,960.364052725536,71911.07962646967,1098540.787878441,37838.844462617344,,,,,
2011-07,2011-07-01,6,A14,million,80117.0,617853.0,25608258.0,74717.6302971399,26603990.0,42325.65758007026,43290.0,36827.0,607805.0,10048.0,17646842.643333334,172970.0,25608258.0,967.22062538,74717.6302971399,243342679.0,414648767.0,26603990.0,1127437.3141460607,42325.65758007026,,,,,,,,,,,,,,,,,967.22062538,74717.6302971399,1127437.3141460607,42325.65758007026,,,,,
2011-08,2011-08-01,5,A14,million,81634.0,587383.0,27688863.0,80789.83905201519,27752834.0,45605.18254927186,43914.0,37720.0,577094.0,10289.0,17584699.0,180047.0,27688863.0,1088.498112470204,80789.83905201519,251478570.0,414472319.0,27752834.0,1122738.9142333684,45605.18254927186,,,,,,,,,,,,,,,,,1088.498112470204,80789.83905201519,1122738.9142333684,45605.18254927186,,,,,
2011-09,2011-09-01,4,A14,million,82989.0,586674.0,25586421.0,76938.09708126391,26049559.0,41013.22449736667,44432.0,38557.0,576102.0,10572.0,17625852.0,178119.0,25586421.0,1003.553420489033,76938.09708126391,251972284.0,409673081.0,26049559.0,1092567.151168936,41013.22449736667,,,,,,,,,,,,,,,,,1003.553420489033,76938.09708126391,1092567.151168936,41013.22449736667,,,,,
2011-10,2011-10-01,3,A14,million,84309.0,596463.0,28641501.0,89976.29235376223,30500708.0,55910.613980269285,44875.0,39434.0,585685.0,10778.0,17619053.0,185542.0,28641501.0,1078.006636964504,89976.29235376223,255555596.0,449866388.0,30500708.0,1234095.9276221104,55910.613980269285,,,,,,,,,,,,,,,,,1078.006636964504,89976.29235376223,1234095.9276221104,55910.613980269285,,,,,
2011-11,2011-11-01,2,A14,million,85728.0,607157.0,24683380.0,79197.87589816184,27064448.0,43288.27622506237,44807.0,40921.0,596081.0,11076.0,17034655.0,176818.0,24683380.0,1047.437433311494,79197.87589816184,259829834.0,417004503.0,27064448.0,1143812.6707771502,43288.27622506237,,,,,,,,,,,,,,,,,1047.437433311494,79197.87589816184,1143812.6707771502,43288.27622506237,,,,,
2011-12,2011-12-01,10,A14,million,87355.0,618756.0,28145942.5,84217.49151005167,29406351.0,48818.97163794437,45275.0,42080.0,607094.0,11662.0,17672337.0,184298.0,28145942.5,1108.521189304428,84217.49151005167,263796762.0,444161114.0,29406351.0,1242370.6894473778,48818.97163794437,,,,,,,,,,,,,,,,,1108.521189304428,84217.49151005167,1242370.6894473778,48818.97163794437,,,,,
2012-01,2012-01-01,11,A14,million,88838.0,635653.0,29812268.0,88676.98646764671,30673852.0,50611.0200310213,45618.0,43220.0,623348.0,12305.0,17739500.0,188208.0,29812268.0,1089.362000550038,88676.98646764671,268000217.0,434051835.0,30673852.0,1209807.8789150116,50611.0200310213,,,,,,,,,,,,,,,,,1089.362000550038,88676.98646764671,1209807.8789150116,50611.0200310213,,,,,
2012-02,2012-02-01,12,A14,million,90524.0,646228.0,26565890.0,81965.34557861059,28073471.0,43892.94381753999,46118.0,44406.0,633663.0,12565.0,17574444.0,200762.0,26565890.0,1078.4195866558,81965.34557861059,273647940.0,432250953.0,28073471.0,1209838.316943349,43892.94381753999,,,,,,,,,,,,,,,,,1078.4195866558,81965.34557861059,1209838.316943349,43892.94381753999,,,,,
2012-03,2012-03-01,13,A14,million,95686.0,660920.0,28744709.62,88373.7218199899,30668922.0,46534.07157386001,47545.0,48141.0,647869.0,13051.0,17653818.0,202106.0,28744709.62,1208.714768563085,88373.7218199899,278282839.0,471031623.0,30668922.0,1317167.704254213,46534.07157386001,,,,,,,,,,,,,,,,,1208.714768563085,88373.7218199899,1317167.704254213,46534.07157386001,,,,,
2012-04,2012-04-01,14,A14,million,96742.0,667963.0,29483446.033,101186.83077759242,31041360.0,50716.07803951999,47914.0,48828.0,654616.0,13347.0,17772203.0,191696.0,29483446.033,1018.74284294531,101186.83077759242,281896365.0,452614082.0,31041360.0,1280330.6542469773,50716.07803951999,,,,,,,,,,,,,,,,,1018.74284294531,101186.83077759242,1280330.6542469773,50716.07803951999,,,,,
2012-05,2012-05-01,15,A14,million,98074.0,671834.0,30166356.3222,93073.20413782724,32101263.0,51109.35074172,48129.0,49945.0,658250.0,13584.0,17900756.0,195616.0,30166356.3222,1135.2712707574478,93073.20413782724,286316295.0,460263881.0,32101263.0,1327925.5662967437,51109.35074172,,,,,,,,,,,,,,,,,1135.2712707574478,93073.20413782724,1327925.5662967437,51109.35074172,,,,,
2012-06,2012-06-01,16,A14,million,99218.0,682958.0,29513853.3221,90269.51359681312,33055758.0,50729.23992554,48399.0,50819.0,669451.0,13507.0,18013578.0,194256.0,29513853.3221,880.695624040745,90269.51359681312,290677993.0,437110100.0,33055758.0,1309124.597892085,50729.23992554,,,,,,,,,,,,,,,,,880.695624040745,90269.51359681312,1309124.597892085,50729.23992554,,,,,
