file,atmid,year,month,sheet,layout,value_unit_published,n_banks,has_total,n_mismatch,mismatches
2011-04_atmid9.xls,9,2011,4,April 2011,A14,million,55,True,0,
2011-05_atmid8.xls,8,2011,5,May 2011,A14,million,55,True,0,
2011-06_atmid7.xls,7,2011,6,June 2011,A14,million,55,True,0,
2011-07_atmid6.xls,6,2011,7,July 2011,A14,million,55,True,0,
2011-08_atmid5.xls,5,2011,8,August 2011,A14,million,55,True,0,
2011-09_atmid4.xls,4,2011,9,Sept 2011,A14,million,54,True,0,
2011-10_atmid3.xls,3,2011,10,Oct 2011,A14,million,54,True,0,
2011-11_atmid2.xls,2,2011,11,Nov 2011,A14,million,54,True,0,
2011-12_atmid10.xls,10,2011,12,ATM POS December 2011,A14,million,54,True,0,
2012-01_atmid11.xls,11,2012,1,ATM POS January 2012,A14,million,54,True,0,
2012-02_atmid12.xls,12,2012,2,ATM POS February 2012,A14,million,54,True,0,
2012-03_atmid13.xls,13,2012,3,March 2012,A14,million,54,True,0,
2012-04_atmid14.xls,14,2012,4,April 2012,A14,million,54,True,0,
2012-05_atmid15.xls,15,2012,5,May_ATM12,A14,million,53,True,0,
2012-06_atmid16.xls,16,2012,6,Bankwise ATM data,A14,million,53,True,0,
2012-07_atmid17.xls,17,2012,7,July-12,A14,million,53,True,0,
2012-08_atmid18.xls,18,2012,8,Bankwise ATM data,A14,million,53,True,0,
2012-09_atmid19.xls,19,2012,9,September-2012,A14,million,53,True,0,
2012-10_atmid20.xls,20,2012,10,Oct-12,A14,million,53,True,0,
2012-11_atmid21.xls,21,2012,11,Nov.-12,A14,million,53,True,0,
2012-12_atmid22.xls,22,2012,12,December-12,A14,million,53,True,0,
2013-01_atmid23.xls,23,2013,1,Jan-2012,A14,million,53,True,0,
2013-02_atmid24.xls,24,2013,2,"February, 2013",A14,million,53,True,0,
2013-03_atmid26.xls,26,2013,3,March-13,A14,million,53,True,0,
2013-04_atmid25.xls,25,2013,4,April 13,A14,million,53,True,0,
2013-05_atmid27.xls,27,2013,5,May,A14,million,53,True,0,
2013-06_atmid28.xls,28,2013,6,June 2013,A14,million,53,True,0,
2013-07_atmid29.xls,29,2013,7,Sheet1,A14,million,53,True,0,
2013-08_atmid30.xls,30,2013,8,August,A16x,million,53,True,0,
2013-09_atmid31.xls,31,2013,9,"Sep, 13",A14,million,53,True,0,
2013-10_atmid32.xls,32,2013,10,"Oct, 13",A14,million,53,True,0,
2013-11_atmid33.xls,33,2013,11,November,A14,million,53,True,0,
2013-12_atmid35.xls,35,2013,12,December-13,A14,million,53,True,0,
2014-01_atmid34.xls,34,2014,1,January-14,A14,million,54,True,0,
2014-02_atmid36.xls,36,2014,2,"February, 2014",A14,million,54,True,0,
2014-03_atmid38.xls,38,2014,3,Sheet1,A14,million,54,True,0,
2014-04_atmid37.xls,37,2014,4,April,A14,million,54,True,0,
2014-05_atmid39.xls,39,2014,5,"May, 2014",A14,million,54,True,0,
2014-06_atmid40.xls,40,2014,6,"June, 2014",A14,million,55,True,0,
2014-07_atmid44.xls,44,2014,7,July,A14,million,55,True,0,
2014-08_atmid41.xls,41,2014,8,"August, 2014",A14,million,55,True,0,
2014-09_atmid43.xls,43,2014,9,September,A14,million,55,True,0,
2014-10_atmid42.xls,42,2014,10,"October, 2014",A14,million,55,True,0,
2014-11_atmid45.xls,45,2014,11,ATM,A14,million,55,True,0,
2014-12_atmid46.xls,46,2014,12,ATM,A14,million,55,True,0,
2015-01_atmid47.xls,47,2015,1,ATM,A14,million,55,True,0,
2015-02_atmid48.xls,48,2015,2,ATM FEB 2015,A14,million,55,True,0,
2015-03_atmid49.xls,49,2015,3,ATM,A14,million,55,True,0,
2015-04_atmid50.xls,50,2015,4,ATM,A14,million,54,True,0,
2015-05_atmid51.xls,51,2015,5,ATM,A14,million,54,True,0,
2015-06_atmid52.xls,52,2015,6,Sheet1,A14,million,54,True,0,
2015-07_atmid54.xls,54,2015,7,July,A14,million,54,True,0,
2015-08_atmid53.xls,53,2015,8,Sheet1,A14,million,54,True,0,
2015-09_atmid55.xls,55,2015,9,ATM,A14,million,54,True,0,
2015-10_atmid56.xls,56,2015,10,ATM,A14,million,55,True,0,
2015-11_atmid57.xls,57,2015,11,ATM,A14,million,55,True,0,
2015-12_atmid58.xls,58,2015,12,ATM,A14,million,56,True,0,
2016-01_atmid59.xls,59,2016,1,Sheet1,A14,million,56,True,0,
2016-02_atmid60.xls,60,2016,2,ATM,A14,million,56,True,0,
2016-03_atmid61.xls,61,2016,3,ATM,A14,million,56,True,0,
2016-04_atmid62.xls,62,2016,4,ATM,A14,million,56,True,0,
2016-05_atmid63.xls,63,2016,5,ATM,A14,million,56,True,0,
2016-06_atmid64.xls,64,2016,6,Sheet1,A14,million,56,True,0,
2016-07_atmid65.xls,65,2016,7,Sheet1,A14,million,56,True,0,
2016-08_atmid66.xls,66,2016,8,Sheet1,A14,million,56,True,0,
2016-09_atmid68.xls,68,2016,9,Sheet1,A14,million,56,True,0,
2016-10_atmid67.xls,67,2016,10,Sheet1,A14,million,56,True,0,
2016-11_atmid69.xlsx,69,2016,11,ATM and Card Statistics,A14,million,56,True,0,
2016-12_atmid70.xlsx,70,2016,12,ATM and Card Statistics,A14,million,56,True,0,
2017-01_atmid71.xls,71,2017,1,ATM and Card Statistics,A14,million,56,True,0,
2017-02_atmid72.xlsx,72,2017,2,ATM and Card Statistics,A14,million,56,True,0,
2017-03_atmid73.xlsx,73,2017,3,March 2017,A14,million,56,True,0,
2017-04_atmid74.xlsx,74,2017,4,April 2017,A14,million,51,True,0,
2017-05_atmid75.xlsx,75,2017,5,May 17,A14,million,49,True,0,
2017-06_atmid76.xlsx,76,2017,6,Jun 17,A14,million,49,True,0,
2017-07_atmid77.xlsx,77,2017,7,July 2017,A14,million,49,True,0,
2017-08_atmid78.xlsx,78,2017,8,Aug 2017,A14,million,49,True,0,
2017-09_atmid79.xlsx,79,2017,9,Sep 2017,A14,million,49,True,0,
2017-10_atmid80.xlsx,80,2017,10,Oct 17 Web,A14,million,49,True,0,
2017-11_atmid81.xlsx,81,2017,11,November 2017,A14,million,49,True,0,
2017-12_atmid82.xlsx,82,2017,12,December 2017-web,A14,million,49,True,0,
2018-01_atmid83.xlsx,83,2018,1,January-2018,A14,million,49,True,0,
2018-02_atmid84.xls,84,2018,2,Feb-18,A14,million,49,True,0,
2018-03_atmid85.xls,85,2018,3,March-2018,A14,million,49,True,0,
2018-04_atmid86.xls,86,2018,4,April-2018,A14,million,66,True,0,
2018-05_atmid87.xls,87,2018,5,May-18 Web,A14,million,66,True,0,
2018-06_atmid88.xls,88,2018,6,June -2018,A14,million,66,True,0,
2018-07_atmid89.xlsx,89,2018,7,July-2018,A14,million,66,True,0,
2018-08_atmid90.xlsx,90,2018,8,August 2018,A14,million,66,True,0,
2018-09_atmid91.xlsx,91,2018,9,ATM & Card Statistics,A14,million,66,True,0,
2018-10_atmid92.xlsx,92,2018,10,October-2018,A14,million,66,True,0,
2018-11_atmid93.xlsx,93,2018,11,November-2018,A14,million,66,True,0,
2018-12_atmid94.xlsx,94,2018,12,December-2018,A14,million,66,True,0,
2019-01_atmid95.xlsx,95,2019,1,January-2019,A14,million,66,True,0,
2019-02_atmid96.xlsx,96,2019,2,February 2019,A14,million,66,True,0,
2019-03_atmid97.xlsx,97,2019,3,March-2019,A14,million,66,True,0,
2019-04_atmid98.xlsx,98,2019,4,April-2019,A14,million,64,True,0,
2019-05_atmid99.xlsx,99,2019,5,May-2019,A14,million,64,True,0,
2019-06_atmid100.xlsx,100,2019,6,June-2019,A14,million,64,True,0,
2019-07_atmid101.xlsx,101,2019,7,July-2019,A14,lakh,64,True,0,
2019-08_atmid102.xlsx,102,2019,8,August-2019,A14,lakh,64,True,0,
2019-09_atmid103.xlsx,103,2019,9,September-2019,A14,lakh,64,True,0,
2019-10_atmid104.xlsx,104,2019,10,October 2019,A14,lakh,64,True,0,
2019-11_atmid105.xlsx,105,2019,11,November - 2019,A14,lakh,64,True,0,
2019-12_atmid106.xlsx,106,2019,12,December - 2019,A14,lakh,64,True,0,
2020-01_atmid107.xls,107,2020,1,January-2020,A14,lakh,64,True,0,
2020-02_atmid108.xls,108,2020,2,Feb-20,A14,lakh,63,True,0,
2020-03_atmid109.xls,109,2020,3,March-2020,A14,lakh,63,True,0,
2020-04_atmid110.xls,110,2020,4,April-2020,A14,lakh,57,True,0,
2020-05_atmid111.xls,111,2020,5,May-2020,B16,lakh,58,True,0,
2020-06_atmid112.xlsx,112,2020,6,June-2020,B16,lakh,57,True,0,
2020-07_atmid113.xlsx,113,2020,7,July-2020,B16,lakh,57,True,0,
2020-08_atmid114.xlsx,114,2020,8,Revised August 2020,B16,lakh,57,True,0,
2020-09_atmid115.xlsx,115,2020,9,September - 2020,B16,lakh,57,True,0,
2020-10_atmid116.xlsx,116,2020,10,October - 2020,B16,lakh,57,True,0,
2020-11_atmid117.xlsx,117,2020,11,Novmber-2020,B16,lakh,57,True,0,
2020-12_atmid118.xlsx,118,2020,12,December-2020,B16,lakh,57,True,0,
2021-01_atmid119.xlsx,119,2021,1,January 2021,B16,lakh,58,True,0,
2021-02_atmid120.xlsx,120,2021,2,February 2021,B16,lakh,58,True,0,
2021-03_atmid121.xlsx,121,2021,3,March 2021,B16,lakh,58,True,0,
2021-04_atmid122.xlsx,122,2021,4,April 2021,B16,lakh,58,True,0,
2021-05_atmid123.xlsx,123,2021,5,May 2021,B16,lakh,58,True,0,
2021-06_atmid124.xlsx,124,2021,6,June 2021,B16,lakh,58,True,0,
2021-07_atmid125.xlsx,125,2021,7,July 2021,B16,lakh,58,True,0,
2021-08_atmid126.xlsx,126,2021,8,August 2021,B16,lakh,58,True,0,
2021-09_atmid127.xlsx,127,2021,9,Revised September 2021,B16,lakh,58,True,0,
2021-10_atmid128.xlsx,128,2021,10,October 2021,B16,lakh,58,True,0,
2021-11_atmid129.xlsx,129,2021,11,November 2021,B16,lakh,57,True,0,
2021-12_atmid130.xlsx,130,2021,12,December 2021,B16,lakh,57,True,0,
2022-01_atmid131.xlsx,131,2022,1,Revised January 2022,B16,lakh,58,True,0,
2022-02_atmid132.xlsx,132,2022,2,Revised February 2022,B16,lakh,58,True,0,
2022-03_atmid133.xlsx,133,2022,3,March 2022 (Revised),C26,thousand,58,True,0,
2022-04_atmid134.xlsx,134,2022,4,Revised April 2022,C26,thousand,58,True,0,
2022-05_atmid135.xlsx,135,2022,5,May 2022 Revised,C26,thousand,58,True,0,
2022-06_atmid136.xlsx,136,2022,6,June 2022,C26,thousand,58,True,0,
2022-07_atmid137.xlsx,137,2022,7,July 2022 (Revised),C26,thousand,58,True,0,
2022-08_atmid138.xlsx,138,2022,8,August 2022 (Revised),C26,thousand,58,True,0,
2022-09_atmid139.xlsx,139,2022,9,September 2022,C26,thousand,58,True,0,
2022-10_atmid140.xlsx,140,2022,10,October 2022 (Revised),C26,thousand,60,True,0,
2022-11_atmid141.xlsx,141,2022,11,November 2022 (Revised),C26,thousand,61,True,0,
2022-12_atmid142.xlsx,142,2022,12,Revised December 2022,C26,thousand,61,True,0,
2023-01_atmid143.xlsx,143,2023,1,Revised January-23,C26,thousand,61,True,0,
2023-02_atmid144.xlsx,144,2023,2,Revised February 2023,C26,thousand,61,True,0,
2023-03_atmid145.xlsx,145,2023,3,Revised March-2023,C26,thousand,61,True,0,
2023-04_atmid146.xlsx,146,2023,4,For Website ,C26,thousand,61,True,0,
