period,application_name,b_2_b_transactions_value_cr,b_2_b_transactions_volume_mn,b_2_c_transactions_value_cr,b_2_c_transactions_volume_mn,customer_initiated_transactions_value_cr,customer_initiated_transactions_volume_mn,onus_transactions_value_cr,onus_transactions_volume_mn,total_value_cr,total_volume_mn,upi_application_name,upi_value_cr,upi_volume_mn
2020-06,,,,,,,,,,,,Airtel Payments Bank Apps,473.59,2.92
2020-06,,,,,,,,,,,,Allahabad Bank,24.3,0.07
2020-06,,,,,,,,,,,,AmazonPay,2532.7,59.91
2020-06,,,,,,,,,,,,Andhra Bank,30.32,0.05
2020-06,,,,,,,,,,,,Axis Bank Apps,362.08,2.62
2020-06,,,,,,,,,,,,Bajaj Finserv,0.78,0.01
2020-06,,,,,,,,,,,,Bank of Baroda,161.78,0.34
2020-06,,,,,,,,,,,,Bank of Maharashtra,5.99,0.02
2020-06,,,,,,,,,,,,BHIM,6625.01,17.95
2020-06,,,,,,,,,,,,Canara Bank,20.79,0.05
2020-06,,,,,,,,,,,,Central Bank of India,27.72,0.06
2020-06,,,,,,,,,,,,Citi Bank Apps,53.45,0.09
2020-06,,,,,,,,,,,,Cointab,48.52,0.16
2020-06,,,,,,,,,,,,Corporation Bank,3.19,0.01
2020-06,,,,,,,,,,,,Cred,887.68,1.16
2020-06,,,,,,,,,,,,DBS Digibank,116.54,0.34
2020-06,,,,,,,,,,,,Dena Bank,15.85,0.01
2020-06,,,,,,,,,,,,Deustche Bank,13.8,0.22
2020-06,,,,,,,,,,,,Fedral Bank,9.73,0.03
2020-06,,,,,,,,,,,,Freecharge,46.32,0.98
2020-06,,,,,,,,,,,,Google Pay,119592.26,592.34
2020-06,,,,,,,,,,,,HDFC Bank Apps,318.9,1.31
2020-06,,,,,,,,,,,,HSBC,34.63,0.17
2020-06,,,,,,,,,,,,ICICI Bank Apps,1624.08,8.17
2020-06,,,,,,,,,,,,IDBI Bank Apps,3.86,0.01
2020-06,,,,,,,,,,,,IDFC Bank Apps,8.62,0.01
2020-06,,,,,,,,,,,,India Post Payments Bank,3.25,0.01
2020-06,,,,,,,,,,,,Indian Bank,2.33,0.01
2020-06,,,,,,,,,,,,IndusInd Bank,40.97,0.26
2020-06,,,,,,,,,,,,Janata Sahakari Bank,4.48,0.01
2020-06,,,,,,,,,,,,Jio Payments Bank,2.7,0.05
2020-06,,,,,,,,,,,,Karnataka Bank,9.05,0.02
2020-06,,,,,,,,,,,,Karur Vysya Bank,12.95,0.02
2020-06,,,,,,,,,,,,Kotak Mahindra Bank Apps,199.97,1.01
2020-06,,,,,,,,,,,,MakeMy Trip,13.11,0.03
2020-06,,,,,,,,,,,,MI Pay,72.2,0.5
2020-06,,,,,,,,,,,,Mobikwik,141.24,1.45
2020-06,,,,,,,,,,,,Oriental Bank of Commerce,18.86,0.03
2020-06,,,,,,,,,,,,Paytm Payment Bank,18089.21,139.22
2020-06,,,,,,,,,,,,PhonePe,106845.67,492.73
2020-06,,,,,,,,,,,,Punjab National Bank,57.06,0.1
2020-06,,,,,,,,,,,,Punjab Sind Bank,4.05,0.01
2020-06,,,,,,,,,,,,RBL Bank,24.16,0.04
2020-06,,,,,,,,,,,,Samsung Pay,262.61,1.06
2020-06,,,,,,,,,,,,South Indian Bank,17.86,0.03
2020-06,,,,,,,,,,,,Standard Chartered,9.02,0.01
2020-06,,,,,,,,,,,,State Bank of India Apps,2030.7,3.37
2020-06,,,,,,,,,,,,TJSB Bank,4.27,0.01
2020-06,,,,,,,,,,,,Truecaller,36.62,0.17
2020-06,,,,,,,,,,,,UCO Bank,12.15,0.02
2020-06,,,,,,,,,,,,Ultracash,66.84,0.22
2020-06,,,,,,,,,,,,Union Bank of India,58.26,0.1
2020-06,,,,,,,,,,,,United Bank of India,22.79,0.06
2020-06,,,,,,,,,,,,Vijya Bank,10.13,0.02
2020-06,,,,,,,,,,,,WhatsApp Pay,8,0.06
2020-06,,,,,,,,,,,,Yes Bank Apps,704.26,7.31
2020-06,,,,,,,,,,,,Other Apps,7.74,0.02
2020-07,,,,,,,,,,,,Airtel Payments Bank Apps,439.87,3.16
2020-07,,,,,,,,,,,,Allahabad Bank,24.5,0.08
2020-07,,,,,,,,,,,,AmazonPay,3087.52,76.69
2020-07,,,,,,,,,,,,Andhra Bank,21.92,0.03
2020-07,,,,,,,,,,,,Axis Bank Apps,425.85,3.81
2020-07,,,,,,,,,,,,Bajaj Finserv,0.87,0.01
2020-07,,,,,,,,,,,,Bank of Baroda,180.55,0.37
2020-07,,,,,,,,,,,,Bank of Maharashtra,6.3,0.02
2020-07,,,,,,,,,,,,BHIM,7244.62,19.86
2020-07,,,,,,,,,,,,Canara Bank,29.75,0.07
2020-07,,,,,,,,,,,,Central Bank of India,31.47,0.07
2020-07,,,,,,,,,,,,Citi Bank Apps,59.19,0.07
2020-07,,,,,,,,,,,,Cointab,46.55,0.15
2020-07,,,,,,,,,,,,Corporation Bank,3.6,0.01
2020-07,,,,,,,,,,,,Cred,1115.52,1.29
2020-07,,,,,,,,,,,,DBS Digibank,155.38,0.4
2020-07,,,,,,,,,,,,Dena Bank,18.3,0.01
2020-07,,,,,,,,,,,,Deustche Bank,16.01,0.22
2020-07,,,,,,,,,,,,Fedral Bank,14.13,0.05
2020-07,,,,,,,,,,,,Freecharge,47.24,0.93
2020-07,,,,,,,,,,,,Google Pay,130449.41,640.95
2020-07,,,,,,,,,,,,HDFC Bank Apps,339.47,1.47
2020-07,,,,,,,,,,,,HSBC,39.65,0.04
2020-07,,,,,,,,,,,,ICICI Bank Apps,2009.06,8.93
