period,beneficiary_bank,cb_ratio,chargebacks_accepted_during_the_month,chargebacks_received_during_the_month,code,representment_raised_during_the_month,total_txns_during_the_month,type_name
2021-03,Axis Bank Ltd.,0.006,3500,13838,AXB,10338,232530187,
2021-03,ICICI Bank,0.004,2451,10568,ICI,8117,245424444,
2021-03,Paytm Payments Bank,0.002,339,7160,PTM,6821,469840240,
2021-03,HDFC BANK LTD,0.004,2468,6761,HDF,4293,160751686,
2021-03,Yes Bank Ltd,0.002,236,5168,YES,4932,334873698,
2021-03,INDUSIND BANK,0.01,402,3842,IIB,3440,37401860,
2021-03,State Bank Of India,0.001,566,3334,SBI,2768,413326482,
2021-03,Yes Bank Ltd,0.001,288,2421,YBL,2133,334873698,
2021-03,Federal Bank,0.001,4,567,FBL,563,68276229,
2021-03,Airtel Payments Bank,0.002,38,436,ARL,398,26418076,
2021-03,CITI,0.008,33,391,CIT,358,4743837,
2021-03,Kotak Mahindra Bank,0.001,86,317,KMB,231,57595479,
2021-03,TJSB Sahakari Bank Ltd,0.011,,169,TSB,169,1601074,
2021-03,Bank of Baroda,0.0,38,166,BOB,128,91601545,
2021-03,Indian Bank,0.0,,165,INB,165,38378904,
2021-03,HSBC,0.006,,132,HSB,132,2206875,
2021-03,IDFC FIRST Bank,0.001,1,128,IDF,127,9456851,
2021-03,Maharashtra Gramin Bank,0.005,2,117,MGB,115,2584996,
2021-03,Canara Bank,0.0,,98,CNB,98,72882141,
2021-03,Union Bank of India,0.0,1,81,UOB,80,65042627,
2021-03,Bank of India,0.0,,63,BOI,63,59271935,
2021-03,Central Bank Of India,0.0,,58,CBI,58,34827616,
2021-03,Andhra Bank,0.0,6,55,ANB,49,25800704,
2021-03,Punjab and Sind Bank,0.002,2,54,PSB,52,2458356,
2021-03,AU small Finance Bank,0.001,3,38,AUS,35,4245599,
2021-03,IDBI Bank Limited,0.0,,34,IDB,34,26035271,
2021-03,DBS Bank India Limited,0.001,2,33,DBS,31,5491969,
2021-03,Bank of Maharashtra,0.0,,32,BOM,32,19081089,
2021-03,Punjab National Bank,0.0,1,31,PNB,30,79599462,
2021-03,Kerala Gramin Bank,0.001,9,30,KLG,21,2037610,
2021-03,UCO Bank,0.0,2,28,UCO,26,17652836,
2021-03,RBL,0.001,,27,RNB,27,2546134,
2021-03,Karnataka Vikas Grameena Bank,0.001,7,23,KVG,16,1777006,
2021-03,Standard Chartered,0.001,4,23,SCB,19,2659241,
2021-03,Rajasthan Marudhara Gramin Bank,0.001,,19,RMG,19,1989613,
2021-03,Indian Overseas Bank,0.0,,18,IOB,18,20601205,
2021-03,Jio Payments Bank,0.005,14,16,JIO,2,329775,
2021-03,Karur Vysya Bank,0.0,2,15,KVB,13,12756752,
2021-03,Bandhan Bank,0.0,,14,BDN,14,7673331,
2021-03,Karnataka Bank,0.0,1,12,KTB,11,18402379,
2021-03,South Indian Bank,0.0,4,12,SIB,8,7993991,
2021-03,Equitas Bank,0.001,4,9,EQT,5,1752488,
2021-03,Lakshmi Vilas Bank,0.0,2,8,LVB,6,2044166,
2021-03,Purvanchal Bank,0.0,,8,PUR,8,1675393,
2021-03,Jammu and Kashmir Bank,0.0,1,7,JKB,6,1971543,
2021-03,Andhra Pragathi Grameena Bank,0.0,1,6,AND,5,2648296,
2021-03,Jharkhand Rajya Gramin Bank,0.002,1,6,VGB,5,397647,
2021-03,Dakshin Bihar Gramin Bank,0.001,2,6,MBB,4,1104028,
2021-03,The Priyadarshini Nagari Sahakari Bank,0.011,3,6,PRY,3,53417,
2021-03,City Union Bank,0.0,,5,CUB,5,6200152,
2021-03,Bharat Co-Operative Bank (Mumbai) Ltd.,0.001,,5,BHB,5,650747,
2021-03,Andhra Pradesh Grameena Vikas Bank,0.0,2,5,APV,3,3882099,
2021-03,Nainital Bank,0.003,1,5,NTB,4,178607,
2021-03,India Post Payment Bank,0.0,,4,IPB,4,5379363,
2021-03,Cosmos Bank,0.0,,4,COB,4,1150139,
2021-03,CSB Bank Ltd,0.0,1,4,CSB,3,1129464,
2021-03,The Municipal Co-op Bank Ltd,0.005,4,4,MUN,,80872,
2021-03,Saurashtra Gramin Bank,0.003,,4,SAG,4,141627,
2021-03,Svc co-operative bank ltd,0.0,,3,SVC,3,921792,
2021-03,Ujjivan Small Finance Bank,0.0,,3,UIJ,3,4168648,
2021-03,Baroda UP Gramin Bank,0.0,1,3,BUB,2,1009830,
2021-03,DCB Bank Ltd,0.0,2,3,DCB,1,896845,
2021-03,Telangana Grameena bank,0.0,,3,TGB,3,1563006,
2021-03,Shri Chhatrapati Rajarshi Shahu Urban Co-Op. Bank Ltd. Beed,0.006,,3,SRS,3,50220,
2021-03,Smriti Nagrik Sahakari Bank Maryadit Mandsaur,0.029,3,3,SNB,,10460,
2021-03,PATAN NAGARIK SAHAKARI BANK LTD,0.155,3,3,PTN,,1933,
