period,description,mcc,type,type_name,value_in_cr,volume_in_mn
2016-07,Buying and shopping services and clubs,7278,High Transacting Categories,,0.0,0.0
2016-07,Groceries and supermarkets,5411,High Transacting Categories,,0.0,0.0
2016-07,0,0,High Transacting Categories,,0.0,0.0
2016-07,0,0,High Transacting Categories,,0.0,0.0
2016-07,0,0,High Transacting Categories,,0.0,0.0
2016-07,0,0,High Transacting Categories,,0.0,0.0
2016-07,0,0,High Transacting Categories,,0.0,0.0
2016-07,0,0,High Transacting Categories,,0.0,0.0
2016-07,0,0,High Transacting Categories,,0.0,0.0
2016-07,0,0,High Transacting Categories,,0.0,0.0
2016-07,0,0,Medium Transacting Categories,,0.0,0.0
2016-07,0,0,Medium Transacting Categories,,0.0,0.0
2016-07,0,0,Medium Transacting Categories,,0.0,0.0
2016-07,0,0,Medium Transacting Categories,,0.0,0.0
2016-07,0,0,Medium Transacting Categories,,0.0,0.0
2016-07,0,0,Medium Transacting Categories,,0.0,0.0
2016-07,0,0,Medium Transacting Categories,,0.0,0.0
2016-07,0,0,Medium Transacting Categories,,0.0,0.0
2016-07,0,0,Medium Transacting Categories,,0.0,0.0
2016-07,0,0,Medium Transacting Categories,,0.0,0.0
2016-07,0,0,All Other Categories,,0.0,0.0
2016-07,0,0,All Other Categories,,0.0,0.0
2016-07,0,0,All Other Categories,,0.0,0.0
2016-07,0,0,All Other Categories,,0.0,0.0
2016-07,0,0,All Other Categories,,0.0,0.0
2016-07,0,0,All Other Categories,,0.0,0.0
2016-07,0,0,All Other Categories,,0.0,0.0
2016-07,0,0,All Other Categories,,0.0,0.0
2016-07,0,0,All Other Categories,,0.0,0.0
2016-07,Others,Others,All Other Categories,,0.0,0.0
2016-07,Total,,All Other Categories,,0.0,0.0
2016-08,Financial institutions automated cash disbursements,6011,High Transacting Categories,,0.0,0.0
2016-08,Miscellaneous personal services not elsewhere classified,7299,High Transacting Categories,,0.01,0.0
2016-08,"Telecommunication services, including local and long distance calls, credit card calls, calls through use of magnetic stripe reading telephones and faxes",4814,High Transacting Categories,,0.0,0.0
2016-08,General contractors residential and commercial,1520,High Transacting Categories,,0.0,0.0
2016-08,Groceries and supermarkets,5411,High Transacting Categories,,0.0,0.0
2016-08,Buying and shopping services and clubs,7278,High Transacting Categories,,0.0,0.0
2016-08,0,0,High Transacting Categories,,0.0,0.0
2016-08,0,0,High Transacting Categories,,0.0,0.0
2016-08,0,0,High Transacting Categories,,0.0,0.0
2016-08,0,0,High Transacting Categories,,0.0,0.0
2016-08,0,0,Medium Transacting Categories,,0.0,0.0
2016-08,0,0,Medium Transacting Categories,,0.0,0.0
2016-08,0,0,Medium Transacting Categories,,0.0,0.0
2016-08,0,0,Medium Transacting Categories,,0.0,0.0
2016-08,0,0,Medium Transacting Categories,,0.0,0.0
2016-08,0,0,Medium Transacting Categories,,0.0,0.0
2016-08,0,0,Medium Transacting Categories,,0.0,0.0
2016-08,0,0,Medium Transacting Categories,,0.0,0.0
2016-08,0,0,Medium Transacting Categories,,0.0,0.0
2016-08,0,0,Medium Transacting Categories,,0.0,0.0
2016-08,0,0,All Other Categories,,0.0,0.0
2016-08,0,0,All Other Categories,,0.0,0.0
2016-08,0,0,All Other Categories,,0.0,0.0
2016-08,0,0,All Other Categories,,0.0,0.0
2016-08,0,0,All Other Categories,,0.0,0.0
2016-08,0,0,All Other Categories,,0.0,0.0
2016-08,0,0,All Other Categories,,0.0,0.0
2016-08,0,0,All Other Categories,,0.0,0.0
2016-08,0,0,All Other Categories,,0.0,0.0
2016-08,Others,Others,All Other Categories,,0.0,0.0
2016-08,Total,,All Other Categories,,0.01,0.0
2016-09,Miscellaneous personal services not elsewhere classified,7299,High Transacting Categories,,0.03,0.0
2016-09,"Telecommunication services, including local and long distance calls, credit card calls, calls through use of magnetic stripe reading telephones and faxes",4814,High Transacting Categories,,0.01,0.0
2016-09,Financial institutions automated cash disbursements,6011,High Transacting Categories,,0.0,0.0
2016-09,Department stores,5311,High Transacting Categories,,0.03,0.0
2016-09,Groceries and supermarkets,5411,High Transacting Categories,,0.0,0.0
2016-09,General contractors residential and commercial,1520,High Transacting Categories,,0.0,0.0
2016-09,Buying and shopping services and clubs,7278,High Transacting Categories,,0.0,0.0
2016-09,0,0,High Transacting Categories,,0.0,0.0
2016-09,0,0,High Transacting Categories,,0.0,0.0
2016-09,0,0,High Transacting Categories,,0.0,0.0
2016-09,0,0,Medium Transacting Categories,,0.0,0.0
2016-09,0,0,Medium Transacting Categories,,0.0,0.0
2016-09,0,0,Medium Transacting Categories,,0.0,0.0
2016-09,0,0,Medium Transacting Categories,,0.0,0.0
2016-09,0,0,Medium Transacting Categories,,0.0,0.0
2016-09,0,0,Medium Transacting Categories,,0.0,0.0
2016-09,0,0,Medium Transacting Categories,,0.0,0.0
2016-09,0,0,Medium Transacting Categories,,0.0,0.0
2016-09,0,0,Medium Transacting Categories,,0.0,0.0
2016-09,0,0,Medium Transacting Categories,,0.0,0.0
2016-09,0,0,All Other Categories,,0.0,0.0
2016-09,0,0,All Other Categories,,0.0,0.0
2016-09,0,0,All Other Categories,,0.0,0.0
2016-09,0,0,All Other Categories,,0.0,0.0
2016-09,0,0,All Other Categories,,0.0,0.0
2016-09,0,0,All Other Categories,,0.0,0.0
2016-09,0,0,All Other Categories,,0.0,0.0
2016-09,0,0,All Other Categories,,0.0,0.0
2016-09,0,0,All Other Categories,,0.0,0.0
2016-09,Others,Others,All Other Categories,,0.0,0.0
2016-09,Total,,All Other Categories,,0.07,0.0
2016-10,Miscellaneous personal services not elsewhere classified,7299,High Transacting Categories,,0.09,0.0
2016-10,"Telecommunication services, including local and long distance calls, credit card calls, calls through use of magnetic stripe reading telephones and faxes",4814,High Transacting Categories,,0.01,0.0
2016-10,Financial institutions automated cash disbursements,6011,High Transacting Categories,,0.01,0.0
2016-10,Groceries and supermarkets,5411,High Transacting Categories,,0.01,0.0
2016-10,Electronics shops,5732,High Transacting Categories,,0.0,0.0
2016-10,General contractors residential and commercial,1520,High Transacting Categories,,0.0,0.0
2016-10,Buying and shopping services and clubs,7278,High Transacting Categories,,0.0,0.0
2016-10,0,0,High Transacting Categories,,0.0,0.0
2016-10,0,0,High Transacting Categories,,0.0,0.0
2016-10,0,0,High Transacting Categories,,0.0,0.0
2016-10,0,0,Medium Transacting Categories,,0.0,0.0
2016-10,0,0,Medium Transacting Categories,,0.0,0.0
2016-10,0,0,Medium Transacting Categories,,0.0,0.0
2016-10,0,0,Medium Transacting Categories,,0.0,0.0
2016-10,0,0,Medium Transacting Categories,,0.0,0.0
2016-10,0,0,Medium Transacting Categories,,0.0,0.0
2016-10,0,0,Medium Transacting Categories,,0.0,0.0
2016-10,0,0,Medium Transacting Categories,,0.0,0.0
2016-10,0,0,Medium Transacting Categories,,0.0,0.0
2016-10,0,0,Medium Transacting Categories,,0.0,0.0
2016-10,0,0,All Other Categories,,0.0,0.0
2016-10,0,0,All Other Categories,,0.0,0.0
2016-10,0,0,All Other Categories,,0.0,0.0
2016-10,0,0,All Other Categories,,0.0,0.0
2016-10,0,0,All Other Categories,,0.0,0.0
2016-10,0,0,All Other Categories,,0.0,0.0
2016-10,0,0,All Other Categories,,0.0,0.0
2016-10,0,0,All Other Categories,,0.0,0.0
2016-10,0,0,All Other Categories,,0.0,0.0
2016-10,Others,Others,All Other Categories,,0.0,0.01
2016-10,Total,,All Other Categories,,0.12,0.01
2016-11,Miscellaneous personal services not elsewhere classified,7299,High Transacting Categories,,0.33,0.02
2016-11,Groceries and supermarkets,5411,High Transacting Categories,,0.18,0.0
2016-11,"Telecommunication services, including local and long distance calls, credit card calls, calls through use of magnetic stripe reading telephones and faxes",4814,High Transacting Categories,,0.03,0.0
2016-11,Financial institutions automated cash disbursements,6011,High Transacting Categories,,0.01,0.0
2016-11,Department stores,5311,High Transacting Categories,,0.02,0.0
2016-11,Electronics shops,5732,High Transacting Categories,,0.0,0.0
2016-11,"Colleges, universities, professional schools and junior colleges",8220,High Transacting Categories,,0.0,0.0
2016-11,Travel agencies and tour operators,4722,High Transacting Categories,,0.0,0.0
2016-11,General contractors residential and commercial,1520,High Transacting Categories,,0.0,0.0
2016-11,Motion picture theatres,7832,High Transacting Categories,,0.0,0.0
2016-11,Debt collection agencies,7322,Medium Transacting Categories,,0.0,0.0
2016-11,Financial institutions merchandise and services,6012,Medium Transacting Categories,,0.0,0.0
2016-11,Miscellaneous general merchandise,5399,Medium Transacting Categories,,0.0,0.0
2016-11,0,0,Medium Transacting Categories,,0.0,0.0
2016-11,0,0,Medium Transacting Categories,,0.0,0.0
2016-11,0,0,Medium Transacting Categories,,0.0,0.0
2016-11,0,0,Medium Transacting Categories,,0.0,0.0
2016-11,0,0,Medium Transacting Categories,,0.0,0.0
2016-11,0,0,Medium Transacting Categories,,0.0,0.0
2016-11,0,0,Medium Transacting Categories,,0.0,0.0
2016-11,0,0,All Other Categories,,0.0,0.0
2016-11,0,0,All Other Categories,,0.0,0.0
2016-11,0,0,All Other Categories,,0.0,0.0
2016-11,0,0,All Other Categories,,0.0,0.0
2016-11,0,0,All Other Categories,,0.0,0.0
2016-11,0,0,All Other Categories,,0.0,0.0
2016-11,0,0,All Other Categories,,0.0,0.0
2016-11,0,0,All Other Categories,,0.0,0.0
2016-11,0,0,All Other Categories,,0.0,0.0
2016-11,Others,Others,All Other Categories,,0.0,0.01
2016-11,Total,,All Other Categories,,0.57,0.03
2016-12,Miscellaneous personal services not elsewhere classified,7299,High Transacting Categories,,5.67,0.24
2016-12,Groceries and supermarkets,5411,High Transacting Categories,,0.84,0.01
2016-12,"Telecommunication services, including local and long distance calls, credit card calls, calls through use of magnetic stripe reading telephones and faxes",4814,High Transacting Categories,,0.13,0.01
2016-12,Financial institutions automated cash disbursements,6011,High Transacting Categories,,0.06,0.0
2016-12,Department stores,5311,High Transacting Categories,,0.24,0.0
2016-12,General contractors residential and commercial,1520,High Transacting Categories,,0.01,0.0
2016-12,"Motor freight carriers and trucking local and long distance, moving and storage companies and local delivery",4214,High Transacting Categories,,0.01,0.0
2016-12,Eating places and restaurants,5812,High Transacting Categories,,0.0,0.0
2016-12,Electronics shops,5732,High Transacting Categories,,0.0,0.0
2016-12,Motion picture theatres,7832,High Transacting Categories,,0.0,0.0
2016-12,Travel agencies and tour operators,4722,Medium Transacting Categories,,0.0,0.0
2016-12,Theatrical producers (except motion pictures) and ticket agencies,7922,Medium Transacting Categories,,0.0,0.0
2016-12,Miscellaneous general merchandise,5399,Medium Transacting Categories,,0.0,0.0
2016-12,Securities brokers and dealers,6211,Medium Transacting Categories,,0.0,0.0
2016-12,Fast food restaurants,5814,Medium Transacting Categories,,0.0,0.0
2016-12,Government services not elsewhere classified,9399,Medium Transacting Categories,,0.0,0.0
2016-12,Direct marketing insurance services,5960,Medium Transacting Categories,,0.0,0.0
2016-12,Business and secretarial schools,8244,Medium Transacting Categories,,0.0,0.0
2016-12,Miscellaneous and speciality retail outlets,5999,Medium Transacting Categories,,0.0,0.0
2016-12,Debt collection agencies,7322,Medium Transacting Categories,,0.0,0.0
2016-12,Financial institutions merchandise and services,6012,All Other Categories,,0.0,0.0
