period,p_2_m_value_cr,p_2_m_volume_mn,p_2_p_value_cr,p_2_p_volume_mn,total_value_cr,total_volume_mn
2020-04,23110.72,449.23,128029.94,550.35,151140.66,999.57
2020-05,28736.16,496.07,189655.44,738.43,218391.6,1234.5
2020-06,33782.16,517.85,228052.84,819.08,261835.0,1336.93
2020-07,39392.67,578.15,251145.19,919.21,290537.86,1497.36
2020-08,41874.18,626.28,256433.43,992.55,298307.61,1618.83
2020-09,46625.93,707.82,282401.74,1092.32,329027.66,1800.14
2020-10,55422.63,844.45,330684.11,1227.17,386106.74,2071.62
2020-11,61045.73,885.55,329953.41,1324.68,390999.15,2210.23
2020-12,68170.15,950.45,348006.06,1283.71,416176.21,2234.16
2021-01,70635.96,1008.62,360545.93,1294.11,431181.89,2302.73
2021-02,70243.34,1011.1,354819.42,1281.8,425062.76,2292.9
2021-03,83076.25,1216.15,421810.19,1515.53,504886.44,2731.68
2021-04,81836.48,1192.53,411827.19,1448.53,493663.67,2641.06
2021-05,86754.07,1142.58,403884.58,1396.99,490638.65,2539.57
2021-06,99597.58,1257.43,447775.59,1550.08,547373.17,2807.51
2021-07,112617.06,1466.03,493664.08,1781.79,606281.14,3247.82
2021-08,122909.52,1609.74,516207.43,1945.8,639116.95,3555.55
2021-09,125378.44,1673.26,528973.37,1981.03,654351.81,3654.3
2021-10,150044.24,1711.53,621400.74,2507.12,771444.98,4218.65
2021-11,150334.56,1638.54,618101.55,2547.94,768436.11,4186.48
2021-12,157720.66,1754.3,669127.56,2812.0,826848.22,4566.3
2022-01,164722.46,1859.54,667270.65,2757.61,831993.11,4617.15
2022-02,163001.03,1895.84,663841.98,2631.65,826843.0,4527.49
2022-03,182758.36,2204.5,777823.3,3201.15,960581.66,5405.65
2022-04,177376.39,2263.2,805925.89,3319.85,983302.27,5583.05
2022-05,214366.39,2546.65,827153.68,3408.55,1041520.07,5955.2
2022-06,213971.81,2560.08,800412.5,3302.67,1014384.31,5862.75
2022-07,230725.92,2999.25,832265.84,3289.15,1062991.76,6288.4
2022-08,239421.82,3290.37,833370.86,3289.26,1072792.68,6579.63
2022-09,254388.83,3547.19,862049.27,3233.61,1116438.1,6780.8
2022-10,282710.45,3868.76,928872.06,3436.66,1211582.51,7305.42
2022-11,268991.61,3907.96,921601.77,3401.49,1190593.39,7309.45
2022-12,290306.69,4227.3,991748.31,3602.19,1282055.01,7829.49
2023-01,300945.6,4410.94,997781.02,3625.95,1298726.62,8036.89
2023-02,279012.26,4153.2,956834.37,3381.56,1235846.62,7534.76
2023-03,322346.66,4826.25,1088096.36,3859.05,1410443.01,8685.3
2023-04,321327.66,5029.74,1086509.94,3868.39,1407837.61,8898.14
2023-05,344073.18,5369.7,1145072.32,4045.48,1489145.5,9415.19
2023-06,350042.01,5363.63,1125422.26,3971.43,1475464.27,9335.06
2023-07,385247.22,5780.19,1148397.97,4184.42,1533645.2,9964.61
2023-08,397440.9,6197.18,1179095.66,4388.83,1576536.56,10586.02
2023-09,396216.25,6182.57,1182916.93,4373.12,1579133.18,10555.69
2023-10,442180.74,6719.37,1273587.62,4689.42,1715768.34,11408.79
2023-11,446873.79,6585.81,1292866.82,4649.47,1739740.61,11235.29
2023-12,475253.29,7265.44,1347696.13,4754.79,1822949.42,12020.23
2024-01,500760.37,7449.93,1340323.61,4753.09,1841083.97,12203.02
2024-02,479346.31,7359.98,1348523.03,4742.69,1827869.33,12102.68
2024-03,518227.99,8295.97,1460125.24,5144.03,1978353.23,13440.0
2024-04,530943.73,8307.47,1433520.79,4996.52,1964464.52,13303.99
2024-05,556701.66,8804.83,1488235.39,5231.01,2044937.05,14035.84
2024-06,559938.98,8720.75,1447142.17,5164.39,2007081.16,13885.14
2024-07,592922.41,8999.59,1471369.99,5435.96,2064292.4,14435.55
