period,approved_percent,bd_percent,payee_psp,td_percent,total_volume_in_mn,type_name
2022-01,99.09,0.68,Yes Bank Ltd,0.23,1749.57,payee
2022-01,99.39,0.5,Paytm Payments Bank,0.11,901.14,payee
2022-01,98.94,0.67,Axis Bank Ltd.,0.39,563.88,payee
2022-01,98.82,0.88,ICICI Bank,0.3,519.3,payee
2022-01,97.12,2.46,HDFC BANK LTD,0.42,249.47,payee
2022-01,97.91,1.02,State Bank Of India,1.07,236.59,payee
2022-01,97.47,0.03,Federal Bank,2.5,57.95,payee
2022-01,97.85,0.99,INDUSIND BANK,1.16,21.39,payee
2022-01,99.15,0.09,Airtel Payments Bank,0.76,15.75,payee
2022-01,98.67,1.0,Kotak Mahindra Bank,0.33,11.53,payee
2022-01,99.07,0.14,IDFC FIRST Bank,0.79,11.17,payee
2022-01,99.59,0.0,Citibank,0.41,9.79,payee
2022-01,97.25,0.23,National Payments Corporation of India (BHIM),2.52,8.75,payee
2022-01,99.24,0.14,Bank of Baroda,0.62,3.6,payee
2022-01,97.11,0.0,AU small Finance Bank,2.89,2.76,payee
2022-02,98.95,0.97,Yes Bank Ltd,0.08,1712.7,payee
2022-02,99.68,0.29,Paytm Payments Bank,0.03,927.78,payee
2022-02,98.03,0.57,Axis Bank Ltd.,1.4,553.08,payee
2022-02,98.39,0.56,ICICI Bank,1.05,486.09,payee
2022-02,97.9,1.86,HDFC BANK LTD,0.24,243.04,payee
2022-02,96.0,0.72,State Bank Of India,3.28,231.97,payee
2022-02,97.85,0.04,Federal Bank,2.11,59.54,payee
2022-02,96.35,2.11,INDUSIND BANK,1.54,23.53,payee
2022-02,99.34,0.08,Airtel Payments Bank,0.58,15.75,payee
2022-02,98.65,0.74,Kotak Mahindra Bank,0.61,10.77,payee
2022-02,99.42,0.0,Citibank,0.58,9.04,payee
2022-02,88.62,0.21,National Payments Corporation of India (BHIM),11.17,8.19,payee
2022-02,98.73,0.13,IDFC FIRST Bank,1.14,6.0,payee
2022-02,99.12,0.17,Bank of Baroda,0.71,3.6,payee
2022-02,99.26,0.0,AU small Finance Bank,0.74,2.88,payee
2022-03,98.67,0.79,Yes Bank Ltd,0.54,2015.28,payee
2022-03,98.58,1.39,Paytm Payments Bank,0.03,1162.91,payee
2022-03,99.17,0.42,Axis Bank Ltd.,0.42,659.4,payee
2022-03,98.64,1.08,HDFC Bank Ltd,0.28,280.47,payee
2022-03,98.94,0.53,State Bank Of India,0.53,274.29,payee
2022-03,98.72,0.39,ICICI Bank,0.88,465.07,payee
2022-03,99.78,0.04,Federal Bank,0.18,70.53,payee
2022-03,97.27,1.53,IndusInd Bank,1.2,27.59,payee
2022-03,99.05,0.65,Kotak Mahindra Bank,0.3,18.99,payee
2022-03,98.77,0.07,Airtel Payments Bank,1.15,17.35,payee
2022-03,98.72,0.0,Citibank,1.27,9.67,payee
2022-03,97.77,0.2,National Payments Corporation of India (BHIM),2.02,8.58,payee
2022-03,97.57,0.14,IDFC FIRST Bank,2.29,6.87,payee
2022-03,99.34,0.45,Bank of Baroda,0.21,4.7,payee
2022-03,99.59,0.0,AU small Finance Bank,0.41,3.67,payee
2022-04,98.95,0.92,Yes Bank Ltd,0.13,2086.39,payee
2022-04,99.66,0.34,Paytm Payments Bank,0.01,1209.18,payee
2022-04,99.43,0.49,Axis Bank Ltd.,0.08,658.22,payee
2022-04,99.28,0.36,ICICI Bank,0.36,591.22,payee
2022-04,98.78,0.73,HDFC Bank Ltd,0.49,283.06,payee
2022-04,99.25,0.48,State Bank Of India,0.26,279.84,payee
2022-04,96.77,2.2,Federal Bank,1.02,69.08,payee
2022-04,98.9,0.55,Kotak Mahindra Bank,0.55,36.83,payee
2022-04,98.53,0.95,IndusInd Bank,0.52,30.98,payee
2022-04,99.51,0.35,Airtel Payments Bank,0.14,13.44,payee
2022-04,99.29,0.54,Citibank,0.17,10.28,payee
2022-04,98.93,0.79,National Payments Corporation of India (BHIM),0.28,8.66,payee
2022-04,97.59,1.21,IDFC FIRST Bank,1.19,6.22,payee
2022-04,99.52,0.33,Bank of Baroda,0.15,5.0,payee
2022-04,99.49,0.45,AU small Finance Bank,0.06,3.82,payee
2022-05,99.3,0.64,Yes Bank Ltd,0.06,2209.13,payee
2022-05,99.64,0.35,Paytm Payments Bank,0.01,1306.69,payee
2022-05,99.31,0.43,Axis Bank Ltd,0.26,720.69,payee
2022-05,99.61,0.31,ICICI Bank,0.08,631.63,payee
2022-05,99.31,0.6,HDFC Bank Ltd,0.1,302.88,payee
2022-05,99.15,0.41,State Bank Of India,0.43,295.44,payee
2022-05,96.44,2.94,Federal Bank,0.63,72.78,payee
2022-05,97.26,1.59,IndusInd Bank,1.15,38.48,payee
2022-05,98.71,0.62,Kotak Mahindra Bank,0.67,27.06,payee
2022-05,98.76,0.56,Airtel Payments Bank,0.68,14.81,payee
2022-05,99.46,0.52,Citibank,0.02,9.52,payee
2022-05,96.35,2.17,National Payments Corporation of India (BHIM),1.48,9.0,payee
2022-05,97.84,0.8,IDFC FIRST Bank,1.36,7.17,payee
2022-05,98.46,1.51,Bank of Baroda,0.03,5.73,payee
2022-05,99.52,0.33,AU small Finance Bank,0.15,3.95,payee
2022-06,99.24,0.72,Yes Bank Ltd,0.04,2098.31,payee
2022-06,99.66,0.32,Paytm Payments Bank,0.02,1321.97,payee
2022-06,99.1,0.75,Axis Bank Ltd,0.16,759.01,payee
2022-06,99.36,0.56,ICICI Bank,0.08,622.61,payee
2022-06,99.18,0.74,HDFC Bank Ltd,0.08,310.81,payee
2022-06,97.58,1.16,State Bank Of India,1.25,289.84,payee
2022-06,98.04,1.87,Federal Bank,0.09,74.69,payee
2022-06,97.2,1.93,IndusInd Bank,0.87,36.03,payee
2022-06,96.47,3.05,Kotak Mahindra Bank,0.48,16.88,payee
2022-06,98.09,1.83,Airtel Payments Bank,0.08,15.41,payee
2022-06,96.99,1.83,IDFC FIRST Bank,1.18,9.88,payee
2022-06,99.41,0.56,Citibank,0.03,9.77,payee
2022-06,92.02,7.57,National Payments Corporation of India (BHIM),0.41,8.31,payee
2022-06,96.64,3.33,Bank of Baroda,0.03,6.52,payee
2022-06,99.09,0.87,AU small Finance Bank,0.04,4.01,payee
2022-07,99.59,0.37,Yes Bank Ltd,0.03,2256.82,payee
2022-07,99.62,0.36,Paytm Payments Bank,0.02,1430.47,payee
2022-07,97.15,2.53,Axis Bank Ltd,0.32,799.31,payee
2022-07,99.6,0.36,ICICI Bank,0.05,670.95,payee
2022-07,99.18,0.75,HDFC Bank Ltd,0.07,328.22,payee
2022-07,98.77,0.6,State Bank Of India,0.63,295.76,payee
2022-07,93.27,2.98,Federal Bank,3.74,92.76,payee
2022-07,98.68,0.62,IndusInd Bank,0.7,35.12,payee
2022-07,98.56,0.84,Kotak Mahindra Bank,0.6,21.69,payee
2022-07,98.83,0.98,Airtel Payments Bank,0.19,19.26,payee
2022-07,97.49,1.12,IDFC FIRST Bank,1.39,13.15,payee
2022-07,99.09,0.77,Citibank,0.14,11.18,payee
2022-07,99.17,0.72,National Payments Corporation of India (BHIM),0.11,8.4,payee
2022-07,98.93,0.79,Bank of Baroda,0.28,6.22,payee
2022-07,98.93,0.77,AU small Finance Bank,0.3,4.48,payee
2022-08,99.43,0.51,Yes Bank Ltd,0.06,2400.08,payee
2022-08,99.56,0.42,Paytm Payments Bank,0.01,1488.44,payee
2022-08,96.8,2.64,Axis Bank Ltd,0.57,804.43,payee
2022-08,99.5,0.43,ICICI Bank,0.07,710.22,payee
2022-08,99.09,0.83,HDFC Bank Ltd,0.09,349.03,payee
2022-08,99.38,0.45,State Bank Of India,0.17,296.27,payee
2022-08,97.97,1.35,Federal Bank,0.67,101.31,payee
2022-08,98.83,0.72,IndusInd Bank,0.45,37.8,payee
2022-08,99.0,0.87,Airtel Payments Bank,0.13,25.89,payee
2022-08,99.22,0.41,Kotak Mahindra Bank,0.37,23.64,payee
2022-08,98.24,0.34,IDFC FIRST Bank,1.42,14.39,payee
2022-08,99.19,0.76,Citibank,0.05,10.57,payee
2022-08,98.54,1.43,National Payments Corporation of India (BHIM),0.04,8.75,payee
2022-08,99.82,0.16,Bank of Baroda,0.03,6.44,payee
2022-08,99.08,0.56,AU small Finance Bank,0.36,4.98,payee
2022-09,99.58,0.38,Yes Bank Ltd,0.05,2488.68,payee
2022-09,99.63,0.36,Paytm Payments Bank,0.01,1537.12,payee
2022-09,99.02,0.75,Axis Bank Ltd,0.24,802.88,payee
2022-09,99.48,0.47,ICICI Bank,0.05,728.2,payee
2022-09,98.99,0.98,HDFC Bank Ltd,0.03,365.7,payee
2022-09,99.23,0.59,State Bank Of India,0.18,301.37,payee
2022-09,97.88,2.07,Federal Bank,0.05,104.12,payee
2022-09,97.78,1.65,IndusInd Bank,0.58,25.45,payee
2022-09,99.4,0.5,Airtel Payments Bank,0.1,25.23,payee
2022-09,99.4,0.49,Kotak Mahindra Bank,0.1,23.55,payee
2022-09,96.7,1.7,IDFC FIRST Bank,1.61,13.91,payee
2022-09,98.98,0.84,Citibank,0.18,10.6,payee
2022-09,97.72,2.2,National Payments Corporation of India (BHIM),0.08,8.98,payee
2022-09,99.8,0.16,Bank of Baroda,0.04,6.44,payee
2022-09,97.22,2.24,AU small Finance Bank,0.54,5.07,payee
2022-10,99.47,0.51,Yes Bank Ltd,0.02,2692.58,payee
2022-10,99.74,0.26,Paytm Payments Bank,0.0,1630.83,payee
2022-10,99.37,0.6,Axis Bank Ltd,0.03,876.23,payee
2022-10,99.6,0.39,ICICI Bank,0.01,794.28,payee
2022-10,98.95,1.01,HDFC Bank Ltd,0.04,385.84,payee
2022-10,99.45,0.48,State Bank Of India,0.06,326.97,payee
2022-10,97.78,2.12,Federal Bank,0.1,112.5,payee
2022-10,97.61,1.95,IndusInd Bank,0.45,29.66,payee
2022-10,99.56,0.42,Kotak Mahindra Bank,0.03,27.28,payee
2022-10,98.92,0.89,Airtel Payments Bank,0.18,14.99,payee
2022-10,96.31,2.36,IDFC FIRST Bank,1.33,14.82,payee
2022-10,98.63,1.24,Citibank,0.13,11.4,payee
2022-10,97.85,2.08,National Payments Corporation of India (BHIM),0.07,9.52,payee
2022-10,92.41,7.23,Cosmos Bank,0.36,9.03,payee
2022-10,99.42,0.46,Bank of Baroda,0.12,7.51,payee
2022-11,99.53,0.39,Yes Bank Ltd,0.08,2658.35,payee
2022-11,99.68,0.27,Paytm Payments Bank,0.05,1638.48,payee
2022-11,99.19,0.8,Axis Bank Ltd,0.01,904.83,payee
2022-11,98.83,1.08,ICICI Bank,0.08,813.95,payee
2022-11,99.13,0.81,HDFC Bank Ltd,0.06,378.74,payee
2022-11,98.87,1.04,State Bank Of India,0.09,351.11,payee
2022-11,97.56,1.76,Federal Bank,0.68,111.84,payee
2022-11,97.34,2.02,IndusInd Bank,0.64,29.37,payee
2022-11,99.16,0.73,Kotak Mahindra Bank,0.11,23.13,payee
2022-11,98.9,0.84,Airtel Payments Bank,0.27,15.16,payee
2022-11,93.66,4.93,IDFC FIRST Bank,1.41,15.02,payee
2022-11,99.06,0.88,Citibank,0.06,11.42,payee
2022-11,94.14,5.01,Cosmos Bank,0.85,8.41,payee
2022-11,99.68,0.25,Bank of Baroda,0.07,7.4,payee
2022-11,99.47,0.46,Canara Bank,0.07,5.85,payee
2022-12,99.37,0.44,Yes Bank Ltd,0.19,2850.04,payee
2022-12,99.23,0.75,Paytm Payments Bank,0.02,1775.35,payee
2022-12,99.0,0.92,Axis Bank Ltd,0.08,979.12,payee
2022-12,99.03,0.89,ICICI Bank,0.08,898.83,payee
2022-12,98.38,1.46,HDFC Bank Ltd,0.16,372.15,payee
2022-12,99.17,0.66,State Bank Of India,0.17,370.13,payee
2022-12,99.68,0.28,Federal Bank,0.04,116.45,payee
2022-12,96.01,2.26,IndusInd Bank,1.72,30.84,payee
2022-12,99.05,0.64,Kotak Mahindra Bank,0.31,20.39,payee
2022-12,98.14,1.31,Airtel Payments Bank,0.55,19.83,payee
2022-12,95.75,2.97,IDFC FIRST Bank,1.28,17.9,payee
2022-12,99.39,0.6,Citibank,0.01,12.59,payee
2022-12,97.93,1.55,Cosmos Bank,0.51,9.66,payee
2022-12,91.44,6.09,Bank of Baroda,2.47,7.54,payee
2022-12,99.1,0.57,Canara Bank,0.33,6.6,payee
2023-01,99.58,0.38,Yes Bank Ltd,0.04,2932.04,payee
2023-01,99.76,0.23,Paytm Payments Bank,0.0,1822.61,payee
2023-01,99.12,0.79,Axis Bank Ltd,0.09,973.07,payee
2023-01,99.06,0.92,ICICI Bank,0.02,920.02,payee
2023-01,99.14,0.85,HDFC Bank Ltd,0.01,377.04,payee
2023-01,99.08,0.78,State Bank Of India,0.13,372.77,payee
2023-01,99.75,0.23,Federal Bank,0.01,119.24,payee
2023-01,97.45,1.53,IndusInd Bank,1.03,33.06,payee
2023-01,99.06,0.78,Kotak Mahindra Bank,0.16,30.26,payee
2023-01,97.58,1.53,Airtel Payments Bank,0.89,27.65,payee
2023-01,97.12,1.82,IDFC FIRST Bank,1.06,21.55,payee
2023-01,93.33,5.09,Cosmos Bank,1.58,15.89,payee
2023-01,98.76,0.92,Citibank,0.32,12.49,payee
2023-01,98.48,1.13,Bank of Baroda,0.39,7.17,payee
2023-01,99.33,0.58,Canara Bank,0.09,6.84,payee
2023-02,99.45,0.54,Yes Bank Ltd,0.01,2728.98,payee
2023-02,99.56,0.43,Paytm Payments Bank,0.0,1734.74,payee
2023-02,98.99,1.0,Axis Bank Ltd,0.0,915.58,payee
2023-02,99.55,0.43,ICICI Bank,0.02,882.18,payee
2023-02,98.99,0.99,HDFC Bank Ltd,0.02,351.19,payee
2023-02,98.94,0.86,State Bank Of India,0.2,333.55,payee
2023-02,97.62,1.94,Federal Bank,0.44,115.8,payee
2023-02,98.29,1.58,IndusInd Bank,0.12,34.53,payee
2023-02,99.17,0.82,Kotak Mahindra Bank,0.01,28.51,payee
2023-02,89.05,10.24,IDFC FIRST Bank,0.7,22.78,payee
2023-02,97.65,1.39,Airtel Payments Bank,0.96,21.85,payee
2023-02,77.8,19.86,Cosmos Bank,2.34,21.77,payee
2023-02,98.68,1.0,Citibank,0.32,11.24,payee
2023-02,86.93,12.49,Bank of Baroda,0.58,7.51,payee
2023-02,99.19,0.79,Canara Bank,0.03,6.68,payee
2023-03,99.31,0.59,Yes Bank Ltd,0.09,3113.51,payee
2023-03,99.59,0.38,Paytm Payments Bank,0.04,2027.97,payee
2023-03,99.18,0.77,Axis Bank Ltd,0.05,1055.15,payee
2023-03,99.25,0.71,ICICI Bank,0.04,1012.61,payee
2023-03,99.04,0.94,HDFC Bank Ltd,0.03,406.61,payee
2023-03,99.21,0.67,State Bank Of India,0.12,393.82,payee
2023-03,97.09,2.39,Federal Bank,0.52,139.72,payee
2023-03,98.15,1.42,IndusInd Bank,0.44,44.06,payee
2023-03,98.96,0.68,Kotak Mahindra Bank,0.36,33.89,payee
2023-03,97.39,2.41,Cosmos Bank,0.2,25.21,payee
2023-03,98.72,0.39,Airtel Payments Bank,0.89,20.64,payee
2023-03,89.33,8.06,IDFC FIRST Bank,2.61,17.16,payee
2023-03,99.07,0.77,Citibank,0.16,14.03,payee
2023-03,87.79,0.34,Bank of Baroda,11.87,8.58,payee
2023-03,99.61,0.35,Canara Bank,0.04,8.03,payee
2023-04,99.75,0.21,Yes Bank Ltd,0.04,3179.83,payee
2023-04,99.44,0.26,Paytm Payments Bank,0.31,2097.58,payee
2023-04,99.28,0.68,Axis Bank Ltd,0.04,1109.13,payee
2023-04,99.48,0.47,ICICI Bank,0.05,1003.2,payee
2023-04,99.13,0.82,HDFC Bank Ltd,0.05,407.42,payee
2023-04,99.25,0.48,State Bank Of India,0.27,379.74,payee
2023-04,98.63,1.07,Federal Bank,0.31,143.53,payee
2023-04,97.73,1.27,IndusInd Bank,1.0,43.48,payee
2023-04,99.56,0.32,Kotak Mahindra Bank,0.12,40.35,payee
2023-04,99.68,0.21,RBL Bank,0.11,30.12,payee
2023-04,97.6,2.36,Cosmos Bank,0.04,21.91,payee
2023-04,98.83,0.64,Airtel Payments Bank,0.53,19.93,payee
2023-04,95.43,2.32,IDFC FIRST Bank,2.25,18.84,payee
2023-04,94.9,3.14,Citibank,1.96,13.13,payee
2023-04,87.11,0.38,Bank of Baroda,12.52,8.5,payee
2023-05,99.8,0.18,Yes Bank Ltd,0.02,3328.92,payee
2023-05,99.73,0.26,Paytm Payments Bank,0.01,2250.43,payee
2023-05,99.41,0.57,Axis Bank Ltd,0.02,1169.78,payee
2023-05,99.23,0.68,ICICI Bank,0.09,1053.11,payee
2023-05,99.27,0.69,HDFC Bank Ltd,0.04,439.53,payee
2023-05,99.45,0.49,State Bank Of India,0.06,398.39,payee
2023-05,98.81,1.0,Federal Bank,0.18,154.48,payee
2023-05,98.23,0.88,IndusInd Bank,0.89,47.25,payee
2023-05,99.32,0.55,Kotak Mahindra Bank,0.12,40.28,payee
2023-05,95.12,4.51,Cosmos Bank,0.37,24.05,payee
2023-05,99.66,0.33,RBL Bank,0.02,28.27,payee
2023-05,97.38,2.2,Airtel Payments Bank,0.42,18.61,payee
2023-05,96.85,2.02,IDFC FIRST Bank,1.13,17.88,payee
2023-05,99.25,0.71,Citibank,0.04,9.97,payee
2023-05,99.37,0.57,Canara Bank,0.06,9.55,payee
2023-06,99.75,0.23,Yes Bank Ltd,0.01,3265.06,payee
2023-06,99.6,0.37,Paytm Payments Bank,0.03,2305.56,payee
2023-06,99.42,0.55,Axis Bank Ltd,0.03,1096.89,payee
2023-06,99.07,0.89,ICICI Bank,0.04,1029.2,payee
2023-06,99.14,0.82,HDFC Bank Ltd,0.04,468.94,payee
2023-06,99.51,0.45,State Bank Of India,0.04,426.62,payee
2023-06,95.8,3.46,Federal Bank,0.74,157.65,payee
2023-06,98.49,0.79,IndusInd Bank,0.71,50.3,payee
2023-06,99.4,0.36,Kotak Mahindra Bank,0.24,29.5,payee
2023-06,93.25,6.34,Cosmos Bank,0.4,22.42,payee
2023-06,84.43,6.84,IDFC FIRST Bank,8.73,21.66,payee
2023-06,98.11,1.1,Airtel Payments Bank,0.79,15.9,payee
2023-06,98.9,0.89,Canara Bank,0.21,10.97,payee
2023-06,96.83,2.72,Indian Bank,0.45,10.35,payee
2023-06,99.18,0.71,Citibank,0.12,9.8,payee
2023-07,99.66,0.3,Yes Bank Ltd,0.03,3432.56,payee
2023-07,99.61,0.37,Paytm Payments Bank,0.02,2469.97,payee
2023-07,99.48,0.47,ICICI Bank,0.05,1169.26,payee
2023-07,99.45,0.52,Axis Bank Ltd,0.03,1063.59,payee
2023-07,99.25,0.67,HDFC Bank Ltd,0.08,552.11,payee
2023-07,99.32,0.6,State Bank Of India,0.09,473.74,payee
2023-07,98.48,1.32,Federal Bank,0.19,166.71,payee
2023-07,98.74,0.74,IndusInd Bank,0.52,49.09,payee
2023-07,99.14,0.51,Kotak Mahindra Bank,0.35,32.0,payee
2023-07,95.01,2.32,IDFC FIRST Bank,2.67,25.61,payee
2023-07,98.17,1.58,Indian Bank,0.25,18.4,payee
2023-07,98.46,0.49,Airtel Payments Bank,1.05,15.2,payee
2023-07,99.05,0.81,Canara Bank,0.14,14.88,payee
2023-07,94.8,5.0,Cosmos Bank,0.19,14.21,payee
2023-07,97.74,1.82,Fino Payments Bank,0.44,12.36,payee
2023-08,99.67,0.32,Yes Bank Ltd,0.01,3608.7,payee
