period,approved_percent,bd_percent,payer_psp,td_percent,total_volume_in_mn,type_name
2022-01,98.2,1.79,Yes Bank Ltd,0.01,1822.82,payer
2022-01,98.1,1.54,Axis Bank Ltd.,0.36,727.18,payer
2022-01,97.91,1.76,Paytm Payments Bank,0.33,637.22,payer
2022-01,98.08,1.59,ICICI Bank,0.33,570.85,payer
2022-01,97.71,1.79,State Bank Of India,0.5,463.35,payer
2022-01,98.48,0.99,HDFC BANK LTD,0.53,426.94,payer
2022-01,91.94,7.67,National Payments Corporation of India (BHIM),0.39,28.08,payer
2022-01,82.46,17.27,Airtel Payments Bank,0.27,10.34,payer
2022-01,96.67,3.33,Kotak Mahindra Bank,0.0,7.11,payer
2022-01,96.09,3.83,IDFC FIRST Bank,0.08,3.49,payer
2022-01,93.07,6.92,India Post Payment Bank,0.01,2.85,payer
2022-01,93.71,5.29,Jio Payments Bank,1.0,2.19,payer
2022-01,96.5,3.09,Federal Bank,0.41,1.82,payer
2022-01,99.91,0.09,Deutsche Bank,0.0,0.94,payer
2022-01,86.48,13.46,INDUSIND BANK,0.06,0.85,payer
2022-02,97.87,2.13,Yes Bank Ltd,0.0,1792.1,payer
2022-02,98.06,1.94,Axis Bank Ltd.,0.0,723.79,payer
2022-02,98.06,1.92,Paytm Payments Bank,0.02,634.58,payer
2022-02,97.94,2.06,ICICI Bank,0.0,552.51,payer
2022-02,97.74,2.24,State Bank Of India,0.02,446.83,payer
2022-02,98.61,1.39,HDFC BANK LTD,0.0,418.82,payer
2022-02,91.28,8.57,National Payments Corporation of India (BHIM),0.15,25.47,payer
2022-02,96.2,3.8,Kotak Mahindra Bank,0.0,7.18,payer
2022-02,87.23,12.54,Airtel Payments Bank,0.23,6.65,payer
2022-02,95.0,4.96,IDFC FIRST Bank,0.04,2.86,payer
2022-02,93.44,6.5,India Post Payment Bank,0.06,2.36,payer
2022-02,96.84,3.12,Federal Bank,0.04,2.36,payer
2022-02,95.1,4.4,Jio Payments Bank,0.5,2.07,payer
2022-02,99.92,0.08,Deutsche Bank,0.0,0.88,payer
2022-02,94.84,5.15,INDUSIND BANK,0.01,0.81,payer
2022-03,98.19,1.81,Yes Bank Ltd,0.0,2106.68,payer
2022-03,98.24,1.76,Axis Bank Ltd.,0.0,865.64,payer
2022-03,98.13,1.85,Paytm Payments Bank,0.02,753.45,payer
2022-03,97.97,2.02,State Bank Of India,0.01,547.43,payer
2022-03,98.72,1.28,HDFC Bank Ltd,0.0,499.24,payer
2022-03,98.37,1.62,ICICI Bank,0.01,657.73,payer
2022-03,92.1,7.84,National Payments Corporation of India (BHIM),0.06,27.02,payer
2022-03,79.57,20.31,Airtel Payments Bank,0.12,10.48,payer
2022-03,96.51,3.49,Kotak Mahindra Bank,0.0,8.31,payer
2022-03,95.9,4.09,IDFC FIRST Bank,0.01,3.23,payer
2022-03,95.39,4.59,India Post Payment Bank,0.02,3.1,payer
2022-03,97.01,2.98,Federal Bank,0.01,2.61,payer
2022-03,95.7,3.8,Jio Payments Bank,0.5,2.37,payer
2022-03,97.29,2.71,IndusInd Bank,0.01,1.07,payer
2022-03,99.87,0.13,Deutsche Bank,0.0,1.05,payer
2022-04,98.19,1.76,Yes Bank Ltd,0.05,2152.51,payer
2022-04,98.27,1.69,Axis Bank Ltd.,0.04,901.78,payer
2022-04,98.05,1.9,State Bank Of India,0.05,572.75,payer
2022-04,98.77,1.18,HDFC Bank Ltd,0.06,511.82,payer
2022-04,98.25,1.7,Paytm Payments Bank,0.05,765.29,payer
2022-04,98.38,1.56,ICICI Bank,0.05,719.84,payer
2022-04,92.65,7.27,National Payments Corporation of India (BHIM),0.08,27.73,payer
2022-04,95.8,4.2,IndusInd Bank,0.01,1.09,payer
2022-04,96.48,3.52,Kotak Mahindra Bank,0.0,8.26,payer
2022-04,95.14,4.82,IDFC FIRST Bank,0.03,2.83,payer
2022-04,95.16,4.65,Airtel Payments Bank,0.19,5.56,payer
2022-04,96.8,3.15,Federal Bank,0.05,2.85,payer
2022-04,90.09,9.85,Bank of Baroda,0.06,0.85,payer
2022-04,94.67,5.3,India Post Payment Bank,0.03,2.96,payer
2022-04,88.26,11.73,Union Bank of India,0.02,0.47,payer
2022-05,98.37,1.61,Yes Bank Ltd,0.02,2261.47,payer
2022-05,98.49,1.49,Axis Bank Ltd,0.02,970.33,payer
2022-05,98.3,1.68,Paytm Payments Bank,0.03,798.33,payer
2022-05,98.49,1.49,ICICI Bank,0.02,780.66,payer
2022-05,98.4,1.58,State Bank Of India,0.03,631.19,payer
2022-05,98.86,1.12,HDFC Bank Ltd,0.02,544.25,payer
2022-05,91.38,8.58,National Payments Corporation of India (BHIM),0.04,29.08,payer
2022-05,96.59,3.41,Kotak Mahindra Bank,0.0,8.8,payer
2022-05,95.48,4.35,Airtel Payments Bank,0.17,6.39,payer
2022-05,94.93,5.06,IDFC FIRST Bank,0.01,5.16,payer
2022-05,97.16,2.82,Federal Bank,0.02,3.58,payer
2022-05,93.65,6.31,India Post Payment Bank,0.04,3.32,payer
2022-05,95.37,4.03,Jio Payments Bank,0.6,2.18,payer
2022-05,99.95,0.05,Deutsche Bank,0.0,1.64,payer
2022-05,98.55,1.44,IndusInd Bank,0.02,1.05,payer
