period,district,state_union_territory,value_contribution,value_in_cr,volume_contribution,volume_in_mn
2023-04,,MAHARASHTRA,18.39,260344.8,20.98,1859.79
2023-04,,KARNATAKA,8.05,114007.15,8.72,772.62
2023-04,,TELANGANA,8.6,121761.16,7.71,683.07
2023-04,,UTTAR PRADESH,6.19,87585.09,6.43,569.78
2023-04,,TAMIL NADU,5.19,73484.77,4.9,433.99
2023-04,,RAJASTHAN,4.55,64347.76,4.42,391.83
2023-04,,MADHYA PRADESH,3.96,56076.31,4.24,375.53
2023-04,,DELHI,3.31,46799.01,3.72,330.04
2023-04,,GUJARAT,3.26,46154.94,3.17,280.81
2023-04,,ANDHRA PRADESH,4.2,59444.05,3.16,279.96
2023-04,,BIHAR,3.45,48787.79,3.02,267.97
2023-04,,WEST BENGAL,3.1,43922.05,2.63,233.46
2023-04,,HARYANA,2.49,35256.24,2.54,225.35
2023-04,,KERALA,2.21,31243.16,2.27,201.13
2023-04,,ODISHA,2.0,28296.73,2.08,184.79
2023-04,,PUNJAB,1.52,21576.93,1.39,123.33
2023-04,,JHARKHAND,1.05,14905.34,1.05,93.42
2023-04,,ASSAM,1.01,14333.08,0.91,81.02
2023-04,,UTTARAKHAND,0.78,11091.58,0.89,79.24
2023-04,,CHHATTISGARH,0.8,11254.99,0.88,78.23
2023-04,,HIMACHAL PRADESH,0.34,4786.04,0.39,34.96
2023-04,,JAMMU AND KASHMIR,0.34,4783.74,0.32,28.44
2023-04,,GOA,0.21,2988.02,0.23,20.03
2023-04,,CHANDIGARH,0.18,2531.42,0.21,18.64
2023-04,,PUDUCHERRY,0.1,1432.15,0.11,9.52
2023-04,,MANIPUR,0.15,2155.67,0.09,8.19
2023-04,,ARUNACHAL PRADESH,0.09,1341.62,0.07,6.62
2023-04,,DADRA & NAGAR HAVELI & DAMAN & DIU,0.05,641.58,0.06,5.67
2023-04,,TRIPURA,0.07,993.56,0.06,5.52
2023-04,,MEGHALAYA,0.06,852.3,0.05,4.26
2023-04,,NAGALAND,0.07,982.4,0.04,3.64
2023-04,,SIKKIM,0.05,660.99,0.04,3.44
2023-04,,MIZORAM,0.05,774.43,0.04,3.25
2023-04,,ANDAMAN & NICOBAR,0.02,334.49,0.02,1.6
2023-04,,LADAKH,0.03,368.52,0.02,1.39
2023-04,,LAKSHADWEEP,0.0,23.34,0.0,0.09
2023-04,,UNCLASSIFIED#,14.07,199181.5,13.12,1162.65
2023-05,,MAHARASHTRA,17.33,258141.08,19.75,1859.62
2023-05,,KARNATAKA,7.93,118039.69,8.47,797.62
2023-05,,TELANGANA,8.7,129532.28,7.61,716.76
2023-05,,UTTAR PRADESH,6.36,94729.13,6.51,612.76
2023-05,,TAMIL NADU,5.25,78145.83,4.88,459.82
2023-05,,MADHYA PRADESH,4.01,59740.76,4.22,397.53
